"Source Name","Message Type",Date/Time,Read,Direction,"From Phone Number","To Phone Number",Text,"Thread ID","Data Source","Phone Number"
mmssms.db,"Android Message","2024-03-16 21:55:45 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111225,"Hi babe, how was your journey to Kaduna.

I hope it wasn't stressfull","1acb1be6-6072-42f3-854d-f24de74d4f7a-3",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:09:45 WAT",1,Incoming,08032111669,"ff465bf5-14c9-4448-8a50-52e9aa12010b","Calvary greetings brother Sam, I trust you are doing fine. It been about 6 months since you were last seen fellowshiping with us, I hope all is well, in this period of economic meltdown there is no better time to draw closer to God. May the good Lord keep us all from temptations. I hope to see you fellowship with the brethren come sunday. The Lord be with you always my brother","1acb1be6-6072-42f3-854d-f24de74d4f7a-4",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:10:17 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111669,"Thank you Pastor","1acb1be6-6072-42f3-854d-f24de74d4f7a-4",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:19:10 WAT",1,Incoming,08032111133,"ff465bf5-14c9-4448-8a50-52e9aa12010b","Hey, I've got a new scam idea. we need to discuss.","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:19:54 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111133,"Sure, I'm in. What's the plan this time?","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:20:44 WAT",1,Incoming,08032111133,"ff465bf5-14c9-4448-8a50-52e9aa12010b","Let's create a fake investment website and lure people into investing in a non-existent cryptocurrency. We'll promise huge returns.","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:21:08 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111133,"Sounds good. Do you have the website ready?","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:24:00 WAT",1,Incoming,08032111133,"ff465bf5-14c9-4448-8a50-52e9aa12010b","Yes, use the same Bitcoin wallet address as before: 16AtGJbaxL2kmzx4mW5ocpT2ysTWxmacWn.","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:25:38 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111133,"I feel you man, I am in on this fully, but not high value client we go Target this time around I.","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:29:53 WAT",1,Incoming,08032111133,"ff465bf5-14c9-4448-8a50-52e9aa12010b","Sure, enough of this text messages. Meet me over Google Meet byt 10pm. Here is the meeting link: https://meet.google.com/abcd-efgh-ijkl","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 04:37:29 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b",08032111133,"Alright man, I go join wen time reach","1acb1be6-6072-42f3-854d-f24de74d4f7a-5",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:26:00 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b","+971543777711","Hey Egbon, I've set up a new website for our next venture. Check it out: https://apyeth.gifts/","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:29:40 WAT",1,Incoming,"+971543777711","ff465bf5-14c9-4448-8a50-52e9aa12010b","Nice work, Sammy. I'll take a look at the site. Are we using the same tactics as before?","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:34:40 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b","+971543777711","Yes, but this time we're targeting investors with promises of exclusive access to a ""revolutionary"" crypto currency technology. The website layout is designed to mimic legitimacy, complete with fake testimonials and fabricated investment portfolios.","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:35:36 WAT",1,Incoming,"+971543777711","ff465bf5-14c9-4448-8a50-52e9aa12010b","Sounds convincing. Payment gateway nkor? Are we still using the same Bitcoin wallet address?","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:43:19 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b","+971543777711","No, I've set up a new wallet address for this operation. Here it is: 1K1KMHpynJHQRbhzKHyik6yaJuQYxSaZCm","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:46:43 WAT",1,Incoming,"+971543777711","ff465bf5-14c9-4448-8a50-52e9aa12010b","Got it. I'll update the payment instructions on the website accordingly. When we dey go live?","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:46:59 WAT",1,Outgoing,"ff465bf5-14c9-4448-8a50-52e9aa12010b","+971543777711","We'll lauch the website next week. In the meantime, spread the ""good news"" discreetly through our Network of affilliates and social media channels, telegram is very important. We want to create a buzz without attracting unwanted attention.","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"Android Message","2024-03-17 05:49:17 WAT",1,Incoming,"+971543777711","ff465bf5-14c9-4448-8a50-52e9aa12010b","Understood omo iya mi. I'll handle the promotional activities and monitor for any potential leaks. This one go be bang Inshallah","1acb1be6-6072-42f3-854d-f24de74d4f7a-6",LogicalFileSet1,
mmssms.db,"SMS messages","2024-03-17 03:09:45 WAT",1,,,,"Calvary greetings brother Sam, I trust you are doing fine. It been about 6 months since you were last seen fellowshiping with us, I hope all is well, in this period of economic meltdown there is no better time to draw closer to God. May the good Lord keep us all from temptations. I hope to see you fellowship with the brethren come sunday. The Lord be with you always my brother",4,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 03:19:10 WAT",1,,,,"Hey, I've got a new scam idea. we need to discuss.",5,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 03:20:44 WAT",1,,,,"Let's create a fake investment website and lure people into investing in a non-existent cryptocurrency. We'll promise huge returns.",5,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 03:23:45 WAT",1,,,,"Yes, use the same Bitcoin wallet address as before: 16AtGJbaxL2kmzx4mW5ocpT2ysTWxmacWn.",5,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 03:29:45 WAT",1,,,,"Sure, enough of this text messages. Meet me over Google Meet byt 10pm. Here is the meeting link: https://meet.google.com/abcd-efgh-ijkl",5,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 04:29:40 WAT",1,,,,"Nice work, Sammy. I'll take a look at the site. Are we using the same tactics as before?",6,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 04:35:36 WAT",1,,,,"Sounds convincing. Payment gateway nkor? Are we still using the same Bitcoin wallet address?",6,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 04:46:40 WAT",1,,,,"Got it. I'll update the payment instructions on the website accordingly. When we dey go live?",6,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
mmssms.db,"SMS messages","2024-03-17 04:48:57 WAT",1,,,,"Understood omo iya mi. I'll handle the promotional activities and monitor for any potential leaks. This one go be bang Inshallah",6,LogicalFileSet1,"ff465bf5-14c9-4448-8a50-52e9aa12010b"
